Closest Station,Train Line,Hotels Nearby?,Food Nearby?,Hotel Travel Direction,Total Km,Km Diff
Fujisawahommachi,Enoshima,no,yes,South 1,53.1,1.0
Chigasaki,JR,yes,yes,,60.1,7.0
Hiratsuka,JR,yes,yes,,65.5,5.4
Tokaido 07,,,,,66.9,1.4
Tokaido 08,,,,,69.5,2.6
Oiso,JR,no,yes,,69.7,0.2
Ninomiya,JR,no,yes,,75.3,5.6
Kozu,JR,no,yes,,80.0,4.7
Tokaido 09,,,,,83.3,3.3
Odawara,JR,yes,yes,,86.5,3.2
Hakoneteibashi,Hakonetozan,no,yes,,87.9,1.4
Kazamatsuri,Hakonetozan,no,yes,,89.5,1.6
Iriuda,Hakonetozan,no,no,194 ft elevation,90.6,1.1
Hakone-Yumoto,Hakonetozan,yes,yes,302 ft elevation,92.0,1.4
Lake Ashi,n/a,yes,yes,2405 ft elevation,103.1,11.1
Tokaido 10,,,,,105.3,2.2
Tokaido 11,,,,,119.6,14.3
Mishima,JR,no,yes,"West 1, 2700 ft elevation",120.0,0.4
Tokaido 12,,,,,124.8,4.8
Numazu,JR,yes,yes,,126.0,1.2
Katahama,JR,no,yes,,130.8,4.8
Tokaido 13,,,,,132.0,1.2
Hara,JR,no,no,,133.4,1.4
Higashi Tanono Ura,JR,no,no,,138.1,4.7
Yoshiwara,JR,no,no,,142.1,4.0
Tokaido 14,,,,,143.6,1.5
Yoshiwara Honcho,Gakunan,yes,yes,,144.6,1.0
Fuji,JR,yes,yes,,149.0,4.4
Yunoki,JR,no,yes,,150.1,1.1
Fujikawa,JR,no,no,,153.5,3.4
Shin-Kambara,JR,no,yes,,157.0,3.5
Tokaido 15,,,,,157.2,0.2
Kambara,JR,no,no,,159.5,2.3
Yui,JR,no,no,,163.0,3.5
Tokaido 16,,,,,166.4,3.4
Tokaido 17,,,,,169.1,2.7
Okitsu,JR,no,no,,170.5,1.4
Tokaido 18,,,,,174.0,3.5
Shimizu,JR,yes,yes,,175.5,1.5
Irieoka,Shizuoka Shimizu,no,yes,,176.8,1.3
Sakurabashi,Shizuoka Shimizu,no,yes,,177.2,0.4
Kitsunegasaki,Shizuoka Shimizu,no,yes,,178.8,1.6
